resid,leaflet,X coords,Y coords,Z coords,Thickness
8001,lower leaflet,21.209,40.710,1.907,3.875
8002,lower leaflet,11.936,13.348,1.877,4.319
8003,lower leaflet,45.144,42.117,2.082,3.515
8004,lower leaflet,5.371,27.568,2.330,3.875
8005,lower leaflet,47.781,21.739,1.641,3.786
8006,lower leaflet,23.822,51.692,1.685,4.392
8007,lower leaflet,34.820,24.901,1.901,4.026
8008,lower leaflet,22.728,16.031,1.745,4.519
8009,lower leaflet,26.826,21.811,1.824,4.370
8010,lower leaflet,16.195,4.214,1.727,4.503
8011,lower leaflet,2.362,13.195,1.716,4.497
8012,lower leaflet,33.829,0.675,2.197,4.412
8013,lower leaflet,1.871,27.557,1.994,3.780
8014,lower leaflet,3.145,51.021,1.801,4.135
8015,lower leaflet,10.047,18.673,1.557,4.141
8016,lower leaflet,3.776,29.864,2.216,3.880
8017,lower leaflet,34.947,18.471,2.277,4.030
8018,lower leaflet,33.519,41.245,1.841,3.724
8019,lower leaflet,10.217,21.774,1.848,4.340
8020,lower leaflet,51.841,26.423,2.366,4.129
8021,lower leaflet,2.782,39.830,2.328,3.945
8022,lower leaflet,5.777,39.617,2.636,3.897
8023,lower leaflet,24.776,35.878,2.490,3.994
8024,lower leaflet,20.614,46.386,1.408,4.173
8025,lower leaflet,24.994,45.602,2.439,4.470
8026,lower leaflet,32.506,38.441,2.085,3.687
8027,lower leaflet,39.958,43.306,2.207,4.173
8028,lower leaflet,32.488,1.829,1.730,4.261
8029,lower leaflet,29.196,2.419,1.485,4.445
8030,lower leaflet,6.472,1.147,1.998,4.288
8031,lower leaflet,28.048,23.969,2.028,4.350
8032,lower leaflet,9.322,17.010,1.737,4.273
8033,lower leaflet,18.493,15.947,2.230,4.331
8034,lower leaflet,38.403,31.536,2.445,3.795
8035,lower leaflet,11.575,19.010,1.954,4.120
8036,lower leaflet,5.250,44.388,1.915,3.929
8037,lower leaflet,32.068,31.026,1.978,3.975
8038,lower leaflet,14.170,36.645,2.180,3.752
8039,lower leaflet,20.277,22.832,1.755,4.335
8040,lower leaflet,34.493,26.326,1.719,3.932
8041,lower leaflet,7.781,37.108,2.303,3.619
8042,lower leaflet,53.624,50.979,1.772,4.251
8043,lower leaflet,4.143,47.773,1.663,4.057
8044,lower leaflet,11.842,23.601,1.978,4.073
8045,lower leaflet,11.460,28.981,2.043,3.928
8046,lower leaflet,29.061,39.134,2.210,4.113
8047,lower leaflet,52.399,53.701,1.884,4.218
8048,lower leaflet,4.245,14.159,1.852,4.279
8049,lower leaflet,26.587,52.549,2.097,4.293
8050,lower leaflet,7.850,8.431,1.815,4.411
8051,lower leaflet,5.202,28.229,1.986,3.860
8052,lower leaflet,35.556,5.189,1.916,4.563
8053,lower leaflet,9.245,16.089,1.870,4.363
8054,lower leaflet,22.767,53.692,2.035,4.395
8055,lower leaflet,30.842,45.758,2.282,4.109
8056,lower leaflet,51.909,50.623,2.415,4.081
8057,lower leaflet,14.778,53.204,1.706,4.278
8058,lower leaflet,1.073,34.943,1.756,3.733
8059,lower leaflet,9.187,32.527,2.133,3.786
8060,lower leaflet,36.537,16.994,2.180,4.246
8061,lower leaflet,42.435,2.598,1.879,4.184
8062,lower leaflet,9.728,25.482,2.095,3.903
8063,lower leaflet,4.704,37.830,2.273,4.069
8064,lower leaflet,44.049,36.223,2.486,4.160
8065,lower leaflet,35.803,5.935,1.654,4.440
8066,lower leaflet,20.041,39.729,2.168,3.833
